date,site,exposure,group_name,data_collectors,transect_number,transect_number_2024,tidal_height,quadrat_size,photos,Cover_deadbarnacle,Abietinaria_spp,Anthopleura_elegantissima,Anthopleura_xanthogrammica,Balanus_crenatus,Balanus_glandula,C_finmarkiensis,Chthamalus_dalli,Dead_mussel,Dendrobeania_lichenoides,Encrusting_colonial_ascidians,Halichondria_spp,Haliclona_spp,Hymenamphiastra_cyanocrypta,Membranipora_membranacea,Mitella_polymerus,Mytilus_edulis,Mytilus_californianus,Ophilitaspongia_pennata,Pycnoclavella_stanleyi,Schizoporella_uncornis,Semibalanus_cariosus,Sertularella_spp
2001-08-01,Wizard,exposed,not available,not available,1,,0.5,0.0625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,5,0,0
2001-08-01,Wizard,exposed,not available,not available,1,NA,1,0.0625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,1,NA,1.5,0.0625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,1,NA,2,0.0625,,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,87,0,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,1,NA,2.5,0.0625,,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,95,0,0,0,0,2,0
2001-08-01,Wizard,exposed,not available,not available,1,NA,3,0.0625,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0
2001-08-01,Wizard,exposed,not available,not available,1,NA,3.5,0.0625,,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,2,NA,0.5,0.0625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0
2001-08-01,Wizard,exposed,not available,not available,2,NA,1,0.0625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,1,0,0,2,0
2001-08-01,Wizard,exposed,not available,not available,2,NA,1.5,0.0625,,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,55,0,0,0,0,2,0
2001-08-01,Wizard,exposed,not available,not available,2,NA,2,0.0625,,1,1,6,0,0,0,1,0,1,1,1,0,1,1,0,1,55,0,0,0,0,9,0
2001-08-01,Wizard,exposed,not available,not available,2,NA,2.5,0.0625,,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,2,4,76,0,0,0,13,0
2001-08-01,Wizard,exposed,not available,not available,2,NA,3,0.0625,,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,2,NA,3.5,0.0625,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,3,NA,0.5,0.0625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0
2001-08-01,Wizard,exposed,not available,not available,3,NA,1,0.0625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,3,NA,1.5,0.0625,,0,0,1,5,0,0,0,0,0,0,0,0,2,0,0,0,88,0,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,3,NA,2,0.0625,,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0
2001-08-01,Wizard,exposed,not available,not available,3,NA,2.5,0.0625,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,5,0
2001-08-01,Wizard,exposed,not available,not available,3,NA,3,0.0625,,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0
2001-08-01,Wizard,exposed,not available,not available,3,NA,3.5,0.0625,,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2001-08-01,Wizard,exposed,not available,not available,4,NA,0.5,0.0625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,5
2001-08-01,Wizard,exposed,not available,not available,4,NA,1,0.0625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,4,NA,1.5,0.0625,,1,1,0,2,0,0,1,0,1,1,1,0,0,1,0,0,89,0,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,4,NA,2,0.0625,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,4,NA,2.5,0.0625,,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,1,15,46,0,0,0,25,0
2001-08-01,Wizard,exposed,not available,not available,4,NA,3,0.0625,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,10,0
2001-08-01,Wizard,exposed,not available,not available,4,NA,3.5,0.0625,,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,5,NA,0.5,0.0625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2001-08-01,Wizard,exposed,not available,not available,5,NA,1,0.0625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,5,NA,1.5,0.0625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,5,NA,2,0.0625,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,91,0,0,0,0,1,0
2001-08-01,Wizard,exposed,not available,not available,5,NA,2.5,0.0625,,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,10,0
2001-08-01,Wizard,exposed,not available,not available,5,NA,3,0.0625,,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,5,NA,3.5,0.0625,,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,6,NA,0.5,0.0625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0
2001-08-01,Wizard,exposed,not available,not available,6,NA,1,0.0625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,6,NA,1.5,0.0625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,6,NA,2,0.0625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,6,NA,2.5,0.0625,,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,12,0
2001-08-01,Wizard,exposed,not available,not available,6,NA,3,0.0625,,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,6,NA,3.5,0.0625,,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-08-01,Wizard,exposed,not available,not available,7,NA,0.5,0.0625,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
